standard_taxon,TraitName1,avg.value,data.type
ABUTILON INDICUM,Height,2,traits.at.species.level
ABUTILON INDICUM,Leaf N,31.8075,traits.at.species.level
ABUTILON INDICUM,Leaf P,4.725,traits.at.species.level
ABUTILON INDICUM,SLA,39.1,traits.at.species.level
ABUTILON OTOCARPUM,Height,0.55,traits.at.species.level
ABUTILON OTOCARPUM,LA,489.27095,traits.at.species.level
ABUTILON OTOCARPUM,Leaf C,332.485896966667,traits.at.species.level
ABUTILON OTOCARPUM,Leaf K,40.2375,traits.at.species.level
ABUTILON OTOCARPUM,Leaf N,19.0069314208333,traits.at.species.level
ABUTILON OTOCARPUM,Leaf P,1.48666666666667,traits.at.species.level
ABUTILON OTOCARPUM,Seed dry mass,1.76798,traits.at.species.level
ABUTILON OTOCARPUM,SLA,10.2164956339246,traits.at.species.level
ABUTILON THEOPHRASTI,Height,1.2,traits.at.species.level
ABUTILON THEOPHRASTI,Leaf C,423.96,traits.at.species.level
ABUTILON THEOPHRASTI,Leaf N,44.224,traits.at.species.level
ABUTILON THEOPHRASTI,Seed dry mass,9.583,traits.at.species.level
ABUTILON THEOPHRASTI,SLA,26.5910196079216,traits.at.species.level
ACAENA PINNATIFIDA,Seed dry mass,8.9,traits.at.species.level
ACALYPHA VIRGINICA,Leaf C,420.28,traits.at.species.level
ACALYPHA VIRGINICA,Leaf N,15.67,traits.at.species.level
ACALYPHA VIRGINICA,Seed dry mass,0.6,traits.at.species.level
ACALYPHA VIRGINICA,SLA,28.0112044818964,traits.at.species.level
ACER NEGUNDO,Height,13.0124454731388,traits.at.species.level
ACER NEGUNDO,LA,8267.94562389075,traits.at.species.level
ACER NEGUNDO,Leaf C,468.317885687438,traits.at.species.level
ACER NEGUNDO,Leaf K,10.6,traits.at.species.level
ACER NEGUNDO,Leaf N,27.2749962639676,traits.at.species.level
ACER NEGUNDO,Leaf P,2.54366426651761,traits.at.species.level
ACER NEGUNDO,Seed dry mass,28.012,traits.at.species.level
ACER NEGUNDO,SLA,24.9106635427562,traits.at.species.level
ACER PLATANOIDES,Height,15.4427566878981,traits.at.species.level
ACER PLATANOIDES,LA,8084.82183333333,traits.at.species.level
ACER PLATANOIDES,Leaf C,482,traits.at.species.level
ACER PLATANOIDES,Leaf K,10.67,traits.at.species.level
ACER PLATANOIDES,Leaf N,21.5047619092857,traits.at.species.level
ACER PLATANOIDES,Leaf P,1.74810067718333,traits.at.species.level
ACER PLATANOIDES,Seed dry mass,161.2,traits.at.species.level
ACER PLATANOIDES,SLA,20.9254464079802,traits.at.species.level
ACER PSEUDOPLATANUS,Height,5.815,traits.at.species.level
ACER PSEUDOPLATANUS,LA,7438.11243827161,traits.at.species.level
ACER PSEUDOPLATANUS,Leaf C,467.038260330409,traits.at.species.level
ACER PSEUDOPLATANUS,Leaf K,9.86166666666667,traits.at.species.level
ACER PSEUDOPLATANUS,Leaf N,23.9393683096045,traits.at.species.level
ACER PSEUDOPLATANUS,Leaf P,1.9204369538169,traits.at.species.level
ACER PSEUDOPLATANUS,Seed dry mass,33.46,traits.at.species.level
ACER PSEUDOPLATANUS,SLA,15.6399749230747,traits.at.species.level
ACER RUBRUM,Height,14.8737436416814,traits.at.species.level
ACER RUBRUM,LA,6411.49417670683,traits.at.species.level
ACER RUBRUM,Leaf C,474.900957142857,traits.at.species.level
ACER RUBRUM,Leaf K,4.38333333333333,traits.at.species.level
ACER RUBRUM,Leaf N,17.8246237602966,traits.at.species.level
ACER RUBRUM,Leaf P,1.0702,traits.at.species.level
ACER RUBRUM,Seed dry mass,19.707,traits.at.species.level
ACER RUBRUM,SLA,21.0873656292432,traits.at.species.level
ACHILLEA ATRATA,Height,0.05,traits.at.species.level
ACHILLEA MILLEFOLIUM,Height,0.235455119509044,traits.at.species.level
ACHILLEA MILLEFOLIUM,LA,782.570685238095,traits.at.species.level
ACHILLEA MILLEFOLIUM,Leaf C,442.064953718395,traits.at.species.level
ACHILLEA MILLEFOLIUM,Leaf K,26.2095437567751,traits.at.species.level
ACHILLEA MILLEFOLIUM,Leaf N,25.3339172684751,traits.at.species.level
ACHILLEA MILLEFOLIUM,Leaf P,2.50419775414099,traits.at.species.level
ACHILLEA MILLEFOLIUM,Seed dry mass,0.120083333333333,traits.at.species.level
ACHILLEA MILLEFOLIUM,SLA,14.6246557593704,traits.at.species.level
ACHYRACHAENA MOLLIS,Leaf C,369.8,traits.at.species.level
ACHYRACHAENA MOLLIS,Leaf N,22.2,traits.at.species.level
ACHYRACHAENA MOLLIS,SLA,19.39346874,traits.at.species.level
ACHYRANTHES ASPERA,Height,0.95,traits.at.species.level
ACHYRANTHES ASPERA,LA,9180,traits.at.species.level
ACHYRANTHES ASPERA,Seed dry mass,1,traits.at.species.level
ACMISPON SUBPINNATUS,Seed dry mass,2.07,traits.at.species.level
ACMISPON WRANGELIANUS,Leaf C,385,traits.at.species.level
ACMISPON WRANGELIANUS,Leaf N,30.9,traits.at.species.level
ACMISPON WRANGELIANUS,SLA,19.57414966,traits.at.species.level
ACTINOBOLE ULIGINOSUM,Height,0.139375322727273,traits.at.species.level
ACTINOBOLE ULIGINOSUM,LA,13.15702,traits.at.species.level
ACTINOBOLE ULIGINOSUM,Seed dry mass,0.0785264,traits.at.species.level
ACTINOBOLE ULIGINOSUM,SLA,19.4907005307402,traits.at.species.level
ADESMIA BICOLOR,LA,49.2533338929274,traits.at.species.level
AEGILOPS TRIUNCIALIS,Leaf C,328.8,traits.at.species.level
AEGILOPS TRIUNCIALIS,Leaf N,17.9,traits.at.species.level
AEGILOPS TRIUNCIALIS,SLA,19.0848443,traits.at.species.level
AGERATINA ALTISSIMA,Height,0.9,traits.at.species.level
AGERATINA ALTISSIMA,LA,2565.2,traits.at.species.level
AGERATINA ALTISSIMA,Leaf C,435.15,traits.at.species.level
AGERATINA ALTISSIMA,Leaf N,37.7828571428572,traits.at.species.level
AGERATINA ALTISSIMA,SLA,46.0209568816648,traits.at.species.level
AGOSERIS AURANTIACA,Height,0.1148,traits.at.species.level
AGOSERIS AURANTIACA,LA,1020.86,traits.at.species.level
AGOSERIS AURANTIACA,Leaf C,428.589845444444,traits.at.species.level
AGOSERIS AURANTIACA,Leaf N,24.275,traits.at.species.level
AGOSERIS AURANTIACA,Leaf P,2.45409111111111,traits.at.species.level
AGOSERIS GLAUCA,Height,0.128933333333333,traits.at.species.level
AGOSERIS GLAUCA,LA,538.014722222222,traits.at.species.level
AGOSERIS GLAUCA,Leaf C,426.206,traits.at.species.level
AGOSERIS GLAUCA,Leaf N,17.172,traits.at.species.level
AGOSERIS GLAUCA,Leaf P,3.89333333333333,traits.at.species.level
AGOSERIS GLAUCA,Seed dry mass,1.423,traits.at.species.level
AGOSERIS GLAUCA,SLA,19.8873376169419,traits.at.species.level
AGOSERIS GRANDIFLORA,Leaf N,15,traits.at.species.level
AGOSERIS GRANDIFLORA,SLA,15.98564955,traits.at.species.level
AGOSERIS HETEROPHYLLA,Height,0.13,traits.at.species.level
AGOSERIS HETEROPHYLLA,Leaf C,382.1,traits.at.species.level
AGOSERIS HETEROPHYLLA,Leaf N,10,traits.at.species.level
AGOSERIS HETEROPHYLLA,Seed dry mass,0.756,traits.at.species.level
